a while ago, недавно
afraid, боящийся
after midnight, после полуночи
alone, одинокий; один
to apologize, просить прощения
at one’s parents’ house, в доме у родителей
at the movies, в кино
baseball game, игра в бейсбол
to belong to, принадлежать
Birthday party, вечеринка по поводу дня рождения
cabin, маленький дачный домик
carpet, ковер
chubby, пухлый
to clean out, убирать
clothes, одежда
to come over, приходить; заходить
concert, концерт
to decide, принимать решение
definitely, определенно
diamond ring, кольцо с бриллиантом
dishwasher, посудомоечная машина
to disinfect, дезинфицировать
to do sports, заниматься спортом
to do the dishes, мыть посуду
dog food, корм для собак
dog show, шоу собак
dull, тупой; скучный
to dust, вытирать пыль
English class, урок английского
even, даже
eye liner, подводка для глаз
floor, пол; этаж
for the first time, впервые
fresh, свежий
fridge, холодильник
fur coat, шуба
furniture, мебель
glasses, очки
grill, гриль
groceries, продукты
to hang up, вешать; повесить
I really hope so, Я действительно надеюсь на это
I was really upset with you, Я был очень расстроен из-за тебя
I won’t let you down next time, Я не поведу тебя в следующий раз
in a few minutes, через несколько минут
to invite, приглашать
iphone case, чехол для айфона
last night, вчера вечером
last weekend, в прошлые выходные
laundry, стирка
library, библиотека
lift, поднимать
lipstick, помада
live concert, концерт живой музыки
to make the bed, застилать кровать
maybe, возможно
meeting, встреча
mirror, зеркало
to miss, пропускать; скучать
to mop, мыть шваброй
muscle, мышцы
muscular, мускулистый
next time, в следующий раз
none of them, никто из них
picnic, пикник
platform shoes, туфли на платформе
to promise, обещать
protein shake, протеиновый коктейль
to prove it, доказать это
scary, страшный
to sell for a good price, продать по хорошей цене
seminar, семинар
shampoo, шампунь
shiny, блестящий
skinny, очень худой
slim, стройный
slimming tea, чай для похудения
to smile, улыбаться
soap, мыло
strong, сильный
to sweep;swept;swept, подметать
swimsuit, купальник
the other day, на днях в прошлом
the week before last, на позапрошлой неделе
toothpaste, зубная паста
unfortunately, к сожалению
to unload, разгружать
upset, расстроен
to vacuum, пылесосить
vegetables, овощи
vitamins, витамины
to wear the hair down, носить распущенные волосы
webinar, вебинар
What a scary night, Какая страшная ночь
Where were you?, Где ты был?
