all day long; весь день напролет
animal; животное
answer; ответ
around the world1; по всему миру
as Santa; в Самту
as you can see;как видите
at Christmas;на Рождество
at Christmas time;в Рождествеиское время
at midnight; в полночь
BBQ party; вечеринка с барбекю
to believe;верить, полагать
blond;блондин
to burn; сжигать
candy;конфету
capital; столица
(to) celebrate	;праздмовать
century	;век,столетие
champagne	;шампанское
chess	;шахматы
chicken soup	;курииый суп
close to	;рядом с, недалеко от
(to) consider	;рассматривать, обдумувать
culture	- культура
(to) decorate	- украшать
(to) dislike	- не нравиться
(to) dress up	- одеваться, переодеваться
(to) egg hunt	- охотиться на Пасхальные яйца
(to) enjoy	- наслаждаться, получать удовольствие от
fancy	- модный, не простой
(to) feel like	- хотеться
fireworks	- фейерверк
flower	- цветок
for holidays	; на праздники
generally	- в общем, обычно
(to) get together	- собираться вместе
(to) give a card	- подарить открытку
glass	- стакан, бокал
good luck	- удача, везение
grape	- виноград
Great Britain	- Великобритания
happiness	- счастье
healthy	- здоровый
holiday	-праздмик
I'm quite the opposite	- У меня совершенно наоборот
(to) imagine	- представлять себе
in fact	- на самом деле
in real life	- в реальной жизни
(to) invent	- изобретать
(to) invite	- пригласить
(to) keep, kept, kept	- продолжать
kind	- добрый
(to) kiss	- целовать
(to) launch	- запускать
lie	- ложь
(to) make me tired	- делать меня уставшим, выматывать
mice	- мЫши
(to) miss	- скучать по
to (not) mind	- (не) быть против
NY tradition	- НОВОГОДНЯЯ традиция
on Christmas day	- на Рождество
on Easter day	- в день Пасхи
on Halloween	- на Хзллоуин
on Mother's day	- в День матери
on Thanksgiving	- на День Благодарения
on the 4th of July	- на 4 июля (День Независимости США)
on Valentine’s day	- в День святого Валентина
opposite	- напротив
part	- часть
piece of paper	- отрывок бумаги
polka dot	• в горошек
popular	- популярний
(to) prefer	- предпочитать
Really?	• В самом деле?
round	- круглий
Santa Claus	• Дед Мороз
smoking	•курение
state	- штат
(to) take the subway	- ехать на метро
the North Pole	• Северный Полюс
tradition	- традиция
tree	- дерево
(to) trick-or-treat	- угощай или пожалеешь (обычай на Хзллоуин, когда дети ходят от двери к двери и просят их угостить, угрожая какой-либо проделкой)
truth	• правда
turkey	- индейка
underwear	• нижнее белье
vegetarian	- вегетарианец
What about you?	- А как насчет вас?
wish	- желание
word	• слово
(to) write down	- записать
you're right	- ты прав / Вы правы
