artist, художник живописец
average, средний обыкновенный
awful, ужасный ужасно
baker, пекарь
barista, бариста
bitter, горький (на вкус)
bright red, ярко красный
cheap, дешевый
to clean, убирать чистить
clothes, одежда
colorful, красочный
comfortable, удобный комфортный
to cook, готовить еду
cupcake, кекс
dancer, танцор
dark beige, темно бежевый
to design, придумывать разрабатывать
different, разный не похожий
dining room, столовая комната
to direct, ставить пьесу фильм
to drive, водить машину
easy, легкий
elegant, элегантный изысканный
elevator, лифт
espresso, эспрессо
expensive, дорогой
farmer, фермер
fashion designer, модельер
film director, кинорежиссер
floor, пол этаж
grammar, грамматика
grocery store, продуктовый магазин
inside, внутри
Italian, итальянский
job, место работы работа
local, местный
to look, смотреть выглядеть
meal, прием пищи; еда; приготовленная пища
milkshake, молочный коктейль
mop, швабра
movie, кино фильм
navy blue, темно синий
neighborhood, окрестности район
newspaper, газета
normally, обычно
outside the city, за пределами города
perfume, духи
photographer, фотограф
to please, радовать угождать
politics, политика
portrait, портрет
to prepare, готовить подготавливать
President, президент
professional, профессиональный
pumpkin spice latte, латте со вкусом пряной тыквы
purple, фиолетовый
radio show, шоу на радио
repairman, ремонтник
royal, королевский
salsa, сальса
to serve, подавать обслуживать
to shop, делать покупки
singer, певец
to smell, нюхать пахнуть
sneakers, кроссовки
so-so, так себе сносно
sour, кислый
speech, речь
store, магазин
strawberries, клубника
suburb, пригород
sweet, сладкий
to take interviews, брать интервью
to take pictures, фотографировать
to taste, пробовать на вкус
taxi driver, водитель такси
terrible, ужасный
That sounds interesting, Это звучит интересно
that’s nice, Это мило
to translate, переводить
translator, переводчик
to treat, лечить
typical, типичный
ugly, уродливый
to visit, посещать гостить
to write code, писать комп программы
