academic	- учебный
active	- активный
activity; деятельность
(to) apologize for	- просить прощение за
art	- искусство
as a teenager	- будучи подростком
astronomy	- астрономия
background	- происхождение
(to) be excited about	; быть взволнованным из-за
 (to) be interested in	- быть заинтересованным в
(to) be opposed to	- выступать против
(to) be thankful to	- быть благодарным за
(to) be tired of	- устать от
(to) be to most of	- быть в большинстве из
because of	- из-за
blogger	- блоггер
(to) break curfew	- прийти домой позже, чем разрешено
car racing	- гонки на автомобилях
celebrity	- знаменитость
chemistry	- химия
Chinese	- китайский
collection	- коллекция
compatible	- совместимый
(to) complain about	- жаловаться на
complete	- полный, завершенный
confused	-смущенный, запутавшийся
cousin	- двоюродный брат или сестра
cultural	- культурный
culture	- культура
curfew	- время, когда нужно прийти домой
degree	- степень, образование
deserted	- пустынный, необитаемый
(to) dream about/of	- мечтать о
early bird	- ранняя пташка, жаворонок (о людях)
embarrassed	- смущенный
energy	- энергия
equal	- равный
excuse	- оправдание
exhausted	- измождённый
fairy tale	- сказка
fashion	- мода
fatty	- жирный
favorite	- любимый
foods	- продукты
for example	- например
generous	- щедрый
(to) get a promotion	- получить повышение по службе
(to) get angry	- сердиться
(to) go on a picnic	- пойти на пикник
guilty	- виновный
hardworking	- трудолюбивый
(to) have a lot in common	- иметь много общего
 (to) have an excuse for	- иметь причину/оправдание для
height	- высота
ice skating	- катание на коньках
in addition	- к тому же
(to) insist on	- настаивать на
interest	- интерес
island	- остров
jazz music	-джаз
karaoke	- караоке
karate	- каратэ
Latin	- латынь
law	- закон, право
lazy	- ленивый
lion	- лев
(to) look	- выглядеть
(to) look forward to	- с нетерпением ждать
major	- специальность
(to) make a good couple	- составить хорошую пару
mathematics	- математика
member	- член,участник
minority	- меньшинство
modern	- современный
most of the time	- большую часть времени
nervous	- нервный
night shift	- ночная смена
nuclear	-ядерный
outdoor activities	- мероприятия на свежем
воздухе
outgoing	- общительный
outlook on life	- взгляд на жизнь
(to) own one's own business	- владеть собственным бизнесом
parrot	- попугай
perfect	- идеальный
personality	- личность
picnic	- пикник
promotion	- продвижение
push-up	; отжимание
quiet	- тихий
relationship	- отношения
rent	- аренда
right	- право
(to) run errands	- выполнять поручения, бегать по делам
scared	- испуганный
serious	- серьезный
several	- несколько
several times	- несколько раз
(to) shout	- кричать
shy	- застенчивый
sibling	- родной брат/сестра
similar	- аналогичный
sit-up	; приседание
sleepy	- сонный
Spanish	- испанский
staff	- сотрудники, персонал
staff meeting	- собрание персонала
(to) succeed	- добиться успеха
sulky	- надутый, угрюмый
(to) support	- поддерживать
surfing	- серфинг
symphony	- симфония
(to) take a course in mathematics	- пройти курс по математике
(to) talk about/of	- говорить о
teenager	- подросток
(to) tend	- иметь склонность к
(to) thank somebody for	- благодарить кого-то за
the same	- такой же
(to) think about	- думать о
thunderstorm	- гроза
traveling	- путешествия
upset	- расстроенный
use	- использование
vegetarian	- вегетарианец
(to) waste	- тратить впустую
What a coincidence!	- Какое совпадение!
(to) work night shifts	- работать в ночные смены
worn out	- изможденный
(to) worry about	- беспокоиться о
yoga	- йога
