admissions office - приемная комиссия
advertising - реклама
allowed - разрешено
ankle - лодыжка
anxious - тревожный, нервный
approval - похвала, одобрение
barbecue - барбекю
basement - подвал
blood sugar - сахар в крови
broken - сломанный
buddy - приятель
by this bus - на этом автобусе
cafeteria - кафетерий, столовая
(to) change the oil - менять машинное масло
course - курс
creatively - творчески
deaf - глухой
(to) depend on someone for something - рассчитывать на кого-то, по поводу чего-то
(to) depend on somebody to - рассчитывать на то, что кто-то
do something - сделает что-то
dorm - общежитие
(to) download - скачивать
(to) dye - красить (волосы, ткань)
encouragement - ободрение, воодушевление
fashionable - МОДный
football stadium - футбольный стадион
(to) get thanked - получить благодарность
get-together - вечеринка, посиделки
(to) go all the way - ИдТИ до самого конца
(to) grab - захватить, схватить
(to) grill - жарить на гриле
gun	- пистолет
performance	- представление
healthfully	- здорово (о питании)
pregnant	- беременная
honey	-мед
(to) provide	- обеспечивать, предоставлять
I'm wondering...	- мне интересно знать ...
realtor	- агент по продаже недвижимости
(to) land	- приземляться
(to) retire - уходить на пенсию
last owner	- последний владелец
(to) leak	- течь; давать течь; протекать
robber	- грабитель
lifeguard	- спасатель
roof	- крыша
(to) make very little	- очень мало зарабатывать
(to) run by	- пробегать неподалеку, мимо
Master's program	- магистерская программа
security	- безопасность, охрана
matching	- подходящий
series	- сериал
might as well	- с таким же успехом, уж лучше, заодно
(to) sign up for	- записаться на
soccer match	- футбольный матч
mushroom	- гриб
(to) stick around for	- остаться на, не уходить
nearest	- ближайший
surfing	- серфинг
no matter how	- не важно как
(to) take good care of	- хорошо заботиться о
(to) notice	- замечать
novel	- роман
(to) take out	- вынимать, вырезать, удалять
(to) obtain	- получать
the flu	- грипп
on campus	- на территории студенческого	городка
tonsils	- гланды
typo	- опечатка
on time	- вовремя
water heater	- нагреватель воды
passionately - страстно
patiently	- терпеливо
(to) wonder	- интересоваться
