active sports	- активные виды спорта
activity	- род занятий
(to) agree	- согласиться
allergic to	- имеющий аллергию на
ancient	- древний
around	- по, вокруг
(to) avoid	- избегать
(to) be bad with	- плохо разбираться в
beach	- пляж
bowling shoes	- туфли для боулинг
(to) bring, brought, brought	- взять с собой, принести
bunny hill	- склон для начинающих
calm	- спокойный, тихий
canyon	- каньон
careful	- осторожный, аккуратный
(to) charge	- заряжать
close	- рядом
colorful	- разноцветный, красочный
(to) decide	- решать, принимать решение
different	- другой, разный
(to) dislike	- не нравиться
ecology	- экология
electronics	- электроника
Exactly!	- Точно! В точку!
exciting	-захватывающий
first	- сначала
gallery	- галерея
generally	- обычно, в общем
gloves	- перчатки
(to) go bowling	- играть в боулинг
(to) go camping	- заниматься кемпингом
(to) go dog sledding - заниматься катанием на собачьих упряжках
(to) go fishing	- заниматься рыбной ловлей
(to) go hiking	- заниматься пешими прогулками
(to) go mountain climbing	- заниматься скалолазанием
(to) go sailing	- заниматься хождением под парусом
(to) go shopping	- заниматься шопингом
(to) go sightseeing	- заниматься осмотром достопримечательностей
(to) go skating	- заниматься катанием на коньках
(to) go skiing	- заниматься катанием на лыжах
(to) go skydiving	- заниматься прыжками с парашютом
(to) go sledding	- заниматься катанием на санках
(to) go surfing	- заниматься серфингом
(to) go swimming	- заниматься плаванием
(to) go waterskiing	- заниматься катанием на водных лыжах
(to) go windsurfing	- заниматься виндсерфингом
Grand Canyon National Park	- Национальный Парк Великий Каньон
(to) hike	- ходить в пешие походы
hill	- холм
(to) hope	- надеяться
in the future	- в будущем
is a "must"	- является необходимым усло-вием; туда, куда непременно нужно пойти
it didn't work	- этого не получилось
It's me	- Это я
(to) join	- присоединиться
lake	- озеро
(to) learn	- учиться
Let's ask	- Давай спросим у
local	- местный
mall	- торговый центр
mosquito	- комар
mountain	- гора
mountain river	- горная река
national park	- Национальный Парк
(to) need	- нуждаться
night life	- ночная жизнь
ocean	- океан
open fire	- открытый огонь
opinions	- мнения, взгляды
outdoors	- на свежем воздухе
over	-над
(to) pack	- упаковывать
partner	- партнер
(to) pick up	- забрать кого-то
(to) plan	- планировать
(to) play soccer	- играть в футбол
popular	- популярный
(to) prefer	- предпочитать
(to) promise	- обещать
rain jacket	- дождевик
rink	- каток
river	- река
Rocky Mountains	- Кордильеры
romantic	- романтик
seaside	- морское побережье
see you then	- тогда увидимся
several	- несколько
(to) ski	- кататься на лыжах
ski glasses	- лыжные очки
sleepy	- сонный
(to) snowboard	- кататься на сноуборде
snowy	- заснеженный
(to) spend, spent, spent - потратить, провести
sports arena	- спортивная арена
spray	- спрей
stormy	- штормовой, неспокойный
suburban	- пригородный
sunscreen	- солнцезащитный крем
sure	- конечно
surprise	- сюрприз
tourist place	- место, популярное среди туристов
town	- город
(to) travel	- путешествовать
town	- город
(to) travel	- путешествовать
(to) travel around the world	- путешествовать по миру
(to) use	- использовать
(to) wake up early	- рано вставать
warm	- теплый
(to) wear, wore, worn	- носить
wild	- дикий
would like	- хотел бы
