(to) act	- играть роль
application	- программное приложение
ashamed	- совестно, пристыженный
bar	- бар
barn	- сарай
beauty contest	- конкурс красоты
belongings	- личные вещи, принадлежности
brand	- марка, сорт, бренд
(to) change into	- переодеваться в
colleague	- коллега
(to) depart	- отправляться
depth	- глубина
(to) develop	- разрабатывать
device	- устройство
dog show	- выставка собак
drink	- напиток
embarrassed by	- смущенный чем-то
friendly	- дружелюбный
(to) get an A	- получить наивысшую оценку
ground	- земля
horrible	- ужасный
horse	- лошадь
I believe so.	- Я так считаю.
I can take a message for...	- Я могу передать сообщение для...
(to) keep chickens	- держать кур
kindergarten	- детский сад
(to) know one's way around something	- хорошо ориентироваться в/на
lazy	- ленивый
local	- местный
locker	- шкафчик, закрывающийся на ключ
locker room	- раздевалка
(to) look after	- присматривать за
(to) make friends with	- подружиться с
 (to) make fun of	- высмеивать кого-то
(to) manage	- управлять, справляться
mean	- злобный
mermaid	- русалка
model	- модель
obnoxious	- неприятный, противный
opera house	- оперный театр
oriental	- восточный
(to) participate	- участвовать
pattern	-узор
polite	- вежливый
proud of	- гордый кем/чем-либо
ranch	- ранчо, ферма
(to) run a business	- вести бизнес
(to) scan	- сканировать
scanner	- сканер
(to) search	- искать
(to) search through	- искать в, просматривать
(to) serve	- подавать на стол
smart	- умный
stubborn	- упрямый
style	- стиль
(to) take part in	- принять участие в
thickness	- толщина
tiny	- крошечный
ugly	- уродливый
uniform	- униформа
violin	- скрипка
width	- ширина
Would you happen to know...?- Вы случайно не знаете ...?
Would you like to leave a message for.....?	- Хотели бы вы оставить сообщение для…?
(to) write codes	- писать программы, программировать
you mean...	- вы имеете в виду ...
you've just missed him	- вы только что с ним разминулись
