a bit cruel	- немного жестоко
active	- активный
all day	- весь день
(to) apply for	- подавать заявку на
beach party	- пляжная вечеринка
best friend	- лучший друг
box	- коробка
business strategy	- бизнес стратегия
casual	- повседневный, неформаль¬ный
Christmas tree	- Рождественская елка
client data	- данные клиента
conference	- конференция
(to) consider	- рассматривать, обдумывать
date	- свидание
(to) decide	- принимать решение
(to) decorate	- украшать, наряжать
definitely	- определенно
delicious	- вкуснейший
desk	- письменный стол
(to) die	- разрядиться (о телефоне)
(to) do a chemistry experiment - проводить химический эксперимент
(to) do one's nails	- делать маникюр
(to) do push ups	- отжиматься от пола
expensive	- дорогой
(to) fall, fell, fallen	- падать
(to) figure out	- выяснить, разобраться
(to) fill with	- наполнить чем-то
financial report	- финансовый отчет
fish	- рыба
formal	- формальный, для торжественных приёмов
(to) get angry	- рассердиться, разозлиться
(to) get ready for	- готовиться к
(to) go out	- гаснуть (о свете)
groceries	- продукты питания, бакалейные товары
(to) hope	- надеяться
karate	- каратэ
(to) knock on the door	- постучать в дверь
laptop	- ноутбук
lights	- свет
(to) lose, lost, lost	-терять, проигрывать
makeup	- макияж
marathon	- марафон
(to) message	- писать сообщение, смс
messy	- беспорядочный
noodles	- лапша
online	- онлайн, в интернете
(to) order	- заказать
(to) paint	- красить
pan	- сковорода
photo of something or someone	- фотография чего-то или кого-то
physics	- физика, по физике
(to) pick out	- выбирать
pizza	- пицца
(to) play hide-and-seek	; играть в прятки
(to) play the trumpet	- играть на трубе
portrait	- портрет
(to) pour	- облить, налить
(to) practice	- практиковать, тренировать
presentation	- презентация
report	- доклад
(to) ring, rang, rung	- зазвонить (о телефоне, будильнике и т.д)
(to) run away	- убегать
(to) send a message	- отправить сообщение, смс
 (to) set up	- установить
 (to) shine, shone, shone	- сиять, светить
(to) shop for	- ходить в магазин за чем-то
staff meeting	- собрание персонала
sunglasses	- солнечные очки
supervisor	- руководитель
(to) surf	- серфить, заниматься серфингом
(to) hurt, hurt, hurt	- причинять боль, ранить
I take my job very seriously.	- Я воспринимаю свою работу очень серьезно.
I'm not happy with your work. - Я не доволен Вашей работой.
idea	- идея
including	- в том числе, включая
(to) invite someone over- пригласить кого-то себе в гости
It's time to party!	- Пришло время вечеринки!
karaoke	- караоке
sushi	- суши
(to) take selfie	- сделать сел фи (фотографию самого себя)
tax form	- налоговая форма
teapot	- заварочный чайник
(to) text	- отправлять сообщение, смс
That wasn't me.	- Это был(а) не я.
the last thing	- последнее, что
the lights went out	- свет погас
ticket	- билет
(to) train for	- тренироваться для
(to) travel	- путешествовать
trip	- поездка
visa	- виза
(to) walk in	- входить, заходить (в помещение)
website design	- дизайн сайта
(to) work on	- работать над
(to) write down	- записать
yoga	- йога
