beard	- борода
book on business	- книга по бизнесу
clean home page	- чистая домашняя страница
college	- колледж
Congratulations!	- Мои поздравления!
credit score	- рейтинг кредитоспособности, бальная оценка платёжеспособности заёмщика
degree	- ученая степень
different from	- отличный от
dormitory room	- комната в общежитии
(to) double	- удвоить
(to) dye	- красить (о волосах, ткани)
employee	- наемный работник
feature	- черта, характеристика, функциональная возможность
firm	- фирма
flavor	- аромат, вкус
founder	- основатель
fragrance	- аромат
GED exam	- экзамен для получение сертификата по программе средней школы
(to) get a haircut	- подстричься
(to) get a promotion	- получить повышение по службе
(to) give a raise	- дать надбавку к зарплате
(to) graduate from	- выпуститься из
(to) grow a beard	- отращивать бороду
(to) grow up	- расти, вырасти
haircut	- стрижка
hamburger	- гамбургер
hiking boots	- походные ботинки
How have you been?	- Как твои дела?
Headquarters	- штаб-квартира
I have some good news.	- У меня хорошие новости.
(to) improve	- улучшить
interestingly	- интересно, что
issue	- выпуск (журнала)
(to) launch	- запускать
link	- ссылка
lipstick	- губная помада
loan	- ссуда, кредит
(to) lose, lost, lost	- терять
 (to) lose weight	- сбросить вес
magazine	- журнал
(to) make a good deal	- заключить хорошую сделку
menu	- меню
model	- модель
monthly profits	- ежемесячная прибыль
(to) notice	- замечать
(to) offer	- предлагать
over the years	- на протяжении многих лет
(to) pass	- пройти, сдать
(to) pay off	- расплатиться, погасить
popular	- популярный
position	- должность
product	- продукт, товар
profit	- прибыль
(to) prove	- доказать
(to) prove this is true	- доказать, что это правда
(to) publish	- опубликовать, выпустить в тираж
(to) quit, quit, quit	- бросить, уволиться
raise	- надбавка к зарплате
(to) realize	- осознавать
report	- доклад, отчет
score	- результат, итог, таблица выигранных очков
(to) search	- искать
search engine	- информационно-поисковая система
skincare product	- уход за кожей
(to) smell	- нюхать
sneakers	- кроссовки
sofa	-диван
(to) start a business	- начать бизнес
student loans	- кредиты на обучение
(to) taste	- пробовать на вкус
their own business	- их собственный бизнес
wallet	- бумажник
with honors	- с отличием
