abroad, за границей
to act, играть роль (в кино театре)
actor, актер
actress, актриса
article, статья
to bake, печь выпекать
bakery, пекарня
bar, бар
beige, бежевый
bread, хлеб
bunny, кролик
to climb, взбираться карабкаться
close friend, близкий друг
clothes, одежда
cocktail, коктейль
concert, концерт
cupcake, кекс пирожное
cute, привлекательный милый
to design, создавать разрабатывать
farm, ферма
to fly, летать
fun, веселье
garage, гараж
to grow, расти выращивать
to have a picnic, пойти на пикник
to have a tea, пить чай
important, важный
jewelry, драгоценности
jungle, джунгли
kiss, целовать
lucky, удачливый
to master, усваивать овладевать
mountain, гора
movie, кино
novel, роман
Parliament, парламент
to pick, выбирать
pet, домашнее животное
to plant, сажать сеять
popcorn, попкорн
to produce, продюсировать
question, вопрос
ranch, ранчо
to relax, расслабиться
to repair, ремонтировать
rich, богатый
to ride horses, ездить на лошадях
rose, роза
season, сезон время года
to sell, продавать
to shoot a movie, снимать фильм
speech, речь
stadium, стадион
strawberries, клубника
summer, лето
to take pictures, фотографировать
taxi, такси
to translate, переводить
to treat, лечить
to try new things, пытаться; пробовать что-то новое
TV series, телесериал
umbrella, зонтик
to visit, посещать; гостить
washing machine, стиральная машина
weekend, выходные дни уикэнд
What about tomorrow?, Как насчет завтра
