according to	- в соответствии с
all over	- повсюду, по всей поверхности
ankle	- лодыжка
any minute now	- с минуты на минуту
any moment now	- в любой момент
appetizer	- закуска
arm	- рука, предплечье
as soon as possible (ASAP)	- как можно скорее
at 4 pm sharp	- в 4 часа дня ровно
band	- музыкальная группа
bank procedures	- банковские процедуры
break	- перерыв
business day	- рабочий день
by bus	- автобусом
(to) catch a cold	- простудиться
cavity	- кариес
chances are	- скорее всего
check	- платежный чек
chef	- шеф-повар
(to) clear the check	- проверить платежеспособность чека
coach	-тренер
(to) come on time	- приходить вовремя
co-worker	- сотрудник
(to) cross	- вычеркивать, пересекать
(to) decide	- принимать решение
dentist	- стоматолог
(to) distinguish	- различать
(to) do aerobics	- заниматься аэробикой
(to) drown	- утонуть
(to) enlist in the Navy	- поступить на службу военно-морского флота
(to) fail the test	- провалить тест
(to) fall asleep	- засыпать
feet	- ступни, ноги
(to) get a sunburn	- обгореть на солнце
(to) get into med school	- поступить в медицинскую школу
(to) get out of	- выйти из
(to) get seasick	- заболеть морской болезнью
(to) give up	- бросать что-то делать
(to) go hiking	- ходить в пешие походы
(to) go on a diet	- сесть на диету
(to) go sailing	- плавать под парусом
(to) go snowboarding	- заниматься катанием на сноуборде
(to) go waterskiing	- заниматься катанием на водных лыжах
Government	- правительство
grade	- оценка
(to) grow up	- расти
guidance counselor	- консультант по образованию
(to) have the flu	- болеть гриппом
(to) have the measles	- болеть корью
heavy traffic	- плотный транспортный поток
how soon	- как скоро
in all likelihood	- по всей вероятности
in all probability	- по всей вероятности
in an hour or so	- через час или около того
in half an hour	- через полчаса
(to) injure	- повредить
instead	- вместо
International Date Line	- демаркационная линия времени
jazz	-джаз
just in case	- на всякий случай
(to) keep, kept, kept	- продолжать что-то делать
lecture	- лекция
match	- матч
most likely	- вероятно
(to) name	- называть
nauseous	- испытывающий тошноту
navigational instruments	- навигационные приборы
over	- окончившийся
pasta	- макаронные изделия
paycheck	- зарплата
payment	- платеж
performance	- представление шоу
policy	- политика, правила
positive	- положительный, уверен
pregnat	- беременная
probably	- вероятно, наверное
professor	- преподаватель, профессор
puppy	- щенок
(to) put off	- отложить на время
(to) quit, quit, quit - уйти с работы, бросать что-либо делать
quiz	- викторина, тест
(to) raise taxes	- взимать налоги
ready	- готовый
(to) receive	- получать
recipe	- рецепт
(to) recognize	- признавать
(to) refuse	- отказываться
right after	- сразу после
roller coaster	- американские горки
schedule	- расписание
score	- оценка
(to) serve	- подавать на стол
(to) skydive	- прыгать с парашютом
sometime	- как-нибудь
spot	- ПЯТНО
standard	- стандартный
(to) step	- наступать
stomachache	- боль в животе, желудке
strategy	- стратегия
suit	- костюм
(to) take a day off	- взять выходной
(to) take a walk	- пойти погулять
(to) take chances	- рисковать
(to) take off	- взлетать
(to) take Physics	- прослушать курс физики
(to) tease	- дразнить
(to) tell on someone	- ябедничать на кого-то
textbook	- учебник
ticket	- билет
traffic	- трафик, автомобильное движение
(to) train	- тренироваться
trainer	- тренер
(to) twist	- вывихнуть
wallet	- кошелек, бумажник
weather forecast	- прогноз погоды
within	- в пределах
