also, также
at the moment,в данный момент
backpack,рюкзак
be yourself,быть самим собой
beer,пиво
beige, бежевый
belt, ремень
bikini, бикини
bird, птица
blouse, блузка
boots, ботинки сапоги
brown, коричневый
busy, занятой
clear, ясный ясно
cloudy, облачно
coat, пальто
cool, прохладно
designer, дизайнер
to do yoga, заниматься йогой
dress, платье
to drive, водить машину
earrings, серьги
fashion blogger, блогер рассказывающий о моде
to fix, чинить ремонтировать
foggy, туманно
freezing, морозный морозно
French Fries, картошка фри
to go to job interview, идти на собеседование по работе
gray, серый
green, зеленый
guys, парни
to have a class, быть на уроке
to have a party, быть на вечеринке
to have lunch, обедать
hey, привет
hockey, хоккей
hoodie, толстовка с капюшоном
How is the weather in, Какая погода в
How is the weather today, какая погода сегодня
humid, влажный влажно
I`m glad to hear that, я рад это слышать
I`m sorry to hear that, Мне жаль это слышать
to iron, гладить утюгом
jacket, куртка пиджак
jeans, джинсы
juice, сок
to make, делать
milkshake, молочный коктейль
mittens, рукавицы
more than, более чем
navy blue, темно синий
of course, конечно
orange, оранжевый
to order, заказывать
overalls,комбинезон
pants, штаны брюки
to pick, выбирать
pink,розовый
to play music, играть музыку
purple, фиолетовый
rainy, дождлииво
right now, прямо сейчас
scarf, шарф
to see a doctor, обратиться к врачу
to shine, светить
shirt, рубашка
shoes, обувь туфли
shorts, шорты
skirt, юбка
smoothie, безалкогольный коктейль
sneakers, кроссовки
soccer, футбол
socks, носки
to stay at, оставаться в остановиться
suit, костюм
sunglasses, очки
sunny, солнечно
sweater, свитер
sweatshirt, свитшот толстовка
to take a bus, сесть на автобус
to take a shower,принять душ
to take a video, снять видео
to taste, пробовать на вкус
terrible, ужасный
That`s nice, Это хорошо
that`s not right, это не правильно
to travel, путешествовать
to try on, примерять
videoblog, видеоблог
warm, теплый
to wash, мыть
to watch, смотреть
to wear, носить
What else, Что еще
windy, ветренно
wonderful, прекрасно
yoga, йога
