absolutely sure	- абсолютно уверен
(to) afford	- позволять себе
aggressive	- агрессивный
anymore	- больше не
athletic	- спортивный, атлетичный
attentive	- внимательный
automatic transmission	- автоматическая коробка передач
backpack	- рюкзак
(to) be paid more	- получать больше
cell phone	- сотовый телефон
charity	- благотворительность
(to) check on someone	- проверить как дела у кого-то
common cold	- обычная простуда
concerned about	- обеспокоен
congressman	- конгрессмен
(to) cry one's eyes out	- выплакать все глаза
cure	- исцеление
dangerous	- опасный
deserted	- пустынный
disappointed	- разочарованный
(to) discover	- открывать
(to) drop out of	- прекратить обучение в
easily	- легко
Eiffel tower	- Эйфелева башня
embarrassed	- смущенный
engine	- двигатель
enough	- достаточно
environment	- окружающая среда
environmental wonder	- природное чудо
exotic fruit	- экзотический фрукт
fan	- поклонник
(to) feel energetic	- чувствовать себя энергичным
following	- следующее
(to) get a cost-of-living increase	- получить прибавку на рост стоимости жизни
 (to) get along with each other	- ладить друг с другом
 (to) get away from	- уйти от, отделаться от
(to) get better gas mileage	- получать более высокий пробег
(to) get better grades	- получать более высокие оценки
(to) get low gas mileage	- получать низкий пробег
(to) go on strike	- пойти на забастовку
grade	- оценка
group mate	- одногруппник
(to) have in common	- иметь общее, сродни
health	- здоровье
(to) hit, hit, hit	- ударить, сбить
I suppose	- я полагаю,
I wonder	- мне интересно
I'd like to figure out	- я бы хотел выяснить, разобраться
I'm curious	- мне любопытно
I'm guessing	- я предполагаю
I'm pretty certain	- я почти уверен
impossible	- невозможно
in good physical condition	- в хорошем физическом со-стоянии
industrial age	- индустриальная эпоха
inhabitant	- житель, обитатель
inhabited	- населенный
island	- остров
jealous	- ревнивый
junk food	- нездоровая пища
king	- король
leading actor	- ведущий актер
like	- подобный
(to) make money	- зарабатывать деньги
 (to) make the team	- попасть в команду
maybe that's because	- может быть, это потому, что
(to) memorize	- запомнить
(to) mess up the lines	- перепутать реплики
more often	- чаще
neighboring	- соседний
outgoing	- общительный
pair of shoes	- пара обуви
paparazzi	- папарацци
pollution	- загрязнение окружающей среды
(to) practice the drums	- практиковаться игре на барабанах
present owner	- нынешний владелец
proper	- надлежащий
purple	- фиолетовый
(to) put up for sale	- быть выставленным на продажу
(to) raise taxes	- повысить налоги
regular inhabitant	- постоянный житель
repetition drill	- упражнение на повторение
rested	- отдохнувший
salesman	- продавец
satisfied with	- удовлетворённый по поводу
screwdriver	- отвертка
solitude	- одиночество
(to) start	- заводиться
(to) start a rock band	- создать рок-группу
that isn't very likely	- это не очень вероятно
that makes sense	- это логично
tiny	- крошечный
tornado	- торнадо
totally	- полностью
traffic	- трафик, движение на дороге
transit workers	-транзитные рабочие
tropical butterflies	- тропические бабочки
trunk	- багажник
(to) tune up	- подкрутить, отрегулировать
twins	- близнецы
vocabulary list	- список новых слов
voters	- избиратели
weather forecast	- прогноз погоды
wildflowers	- полевые цветы
yacht	- яхта
yearly checkup	- ежегодная проверка у врача
