anti-allergy medicine	- лекарство от аллергии
anxious	- тревожный
aquapark	- аквапарк
aquarium	- аквариум
as well as i know...	- насколько я знаю ...
at this very minute	- в эту минуту
(to) bark	- лаять
beat	- бит, ритм
birthday cake	- торт ко дню рождения
(to) blow out	- задуть
 (to) boil	- варить, кипятить
(to) browse	- искать (в интернете)
(to) build a sandcastle	- построить замок из песка
 (to) burn	- сжечь, жечь
but then again	- но с другой стороны, но опять таки
by now	- к этому времени
campaign	- кампания
candle	- свеча
charity	- благотворительность
(to) chase	- гнаться за
(to) chat online	- переписываться в интернете в реальном режиме времени
(to) check out	- изучать, зондировать, разведывать
cherry	- вишня
cliff	- утес, крутой обрыв
(to) climb out of	- выкарабкаться из
(to) climb up	- взбираться вверх
come on now	- да ладно тебе
concerned	- обеспокоенный
country music	- музыка кантри
desert	- пустыня
documentary	- документальный фильм
don't be concerned	- не беспокойтесь
don't get carried away	- не увлекайтесь
don't get yourself all worked up	- не напрягайтесь так сильно
don't jump to conclusions	- не спешите с выводами
(to) drive someone nuts	- сводить кого-то с ума
in the Pacific	- в Тихом океане
kangaroo 	- кенгуру
(to) keep repeating	- повторять снова и снова
koala bear	- медведь коала
like crazy	- как сумасшедший
lost	- потерянный, потерявшийся
lunch break	- обеденный перерыв
(to) make a list	- составить список
 (to) make pancakes	- приготовить блины
(to) meow	- мяукать
(to) mend	- чинить
muffin	- кекс
(to) munch on	- перекусить
naughty kid	- непослушный ребенок
nervous	- нервный
noodles	- лапша
over and over	- снова и снова
perfume	-духи
perfume sample	- пробник духов
plastic	- пластиковый
(to) play checkers	- играть в шашки
(to) play the drums	- играть на барабанах
(to) play the trumpet	- играть на трубе
election campaign	- избирательная кампания
elf (elves)	- эльф (эльфы)
(to) enter	- поступать, входить в
every time	- каждый раз
(to) explore	- изучать, исследовать
(to) fill out	- заполнять
(to) film	- снимать фильм
flower	- цветок
(to) freak out	- беспокоиться, переживать (разг.)
fresh	- свежий
(to) go around	- обойти вокруг
 (to) go up and down	- становиться то тише, то громче
grass	- трава
guest room	- комната для гостей
(to) hang out	- тусоваться
 (to) have an argument	- ругаться, спорить
horror movie	- фильм ужасов
I am afraid something happened to her - я боюсь, с ней что-то случилось
I am so not sure about that	- я не совсем в этом уверен
I am positive	- я уверен
I wouldn't be concerned	- я бы не переживал
I wouldn’t worry	- я бы не волновался
industrial strength	- промышленной мощности
instant	- быстрого приготовления, мгновенный
instant coffee	- растворимый кофе
(to) post pictures on Facebook 	- публиковать фотографии в фейсбуке
(to) raise money	- собирать деньги
raspberry	- малина
real pasta	- настоящие макаронные из-делия
(to) repeat	- повторять
salsa music	- сальса
Santa	- Санта
(to) scream at	- кричать на
(to) show up	- появляться
 (to) sneak away	- улизнуть
speakers	- динамики
sponsor	- спонсор
spring allergies	- весенняя аллергия
(to) stay away from	- держаться подальше от
steep	- крутой
(to) suffer from	- страдать от
(to) suffer from the cold	- страдать от холода
the same	- один и тот же
this very moment	- в этот самый момент
through the walls	- сквозь стены
(to) throw, threw, thrown	- бросить, выбрасывать
trash	- мусор
tropical island	- тропический остров
(to) vacuum	- пылесосить
volume	-звук
whole	- целый
(to) wrap	- заворачивать
