easily	- легко
elegant	- элегантный
emotional	- эмоциональный
emotions	- эмоции
employee	- наемный рабочий
(to) explore	- исследовать, изучать
factory	- завод, фабрика
fashion trends	- модные тенденции
feelings	- чувства
(to) fight for	- бороться, сражаться за
(to) fight, fought, fought – драться, воевать
(to) follow	- следить за
from time to time	- временами, время от времени
full of dishes	- полный посуды
(to) get a promotion	- получить повышение
GMO food	- еда с ГМО
goal	- цель
government	- правительство
(to) hate	- ненавидеть
(to) have a war with	- воевать с
 (to) help around the house	- помогать в работе по дому
helpful	- готовый помочь, услужливый
hobby	- хобби
homemade	- домашний
honest	- честный
however	- однако
hunger	- голод
I disagree.	- Я не согласен.
(to) imitate	- имитировать, подражать
in a practical way	- практичным способом
in fact	- на самом деле
in space	- в космосе
independence	- независимость
independent	- независимый
individualistic	- индивидуалистический, живущий своим умом
initiative	- инициатива
(to) kill	- убивать
last name	- фамилия
(to) lie to	- лгать кому-то
lifestyle	- стиль жизни
(to) listen to your heart	- слушать свое сердце
(to) live life to the fullest	- жить на полную, на всю катушку
logo design	-дизайн логотипа
(to) make a good deal	- заключить хорошую сделку
 (to) make a new friend	- завести нового друга
(to) make friends with	- подружиться с
management	- руководство
(to) manipulate	- манипулировать
mask	- маска
mechanic	- механик
(to) misplace	- положить не на место, подевать
natural	- натуральный, естественный
open to everything new	- открыт для всего нового
opportunity	- возможность
organic	- органический
outgoing	- общительный, дружелюбный
pandemics	- пандемии
patient	- терпеливый
peaceful	- умиротворенный, спокойный
personal	- личный
personal life	- личная жизнь
planet	- планета
(to) play an active role	- играть активную роль
practical	- практический
(to) practice	- практиковать/ся
(to) prefer	- предпочитать
privacy	- право на личную жизнь
professional	- профессиональный
professor	- профессор, преподаватель
quite	- довольно
rationally	- рационально
regularly	- регулярно
reliable	- надежный, заслуживающий доверия
resource	- ресурс
responsibility	- ответственность
robot	- робот
romantic	- романтик, романтичный
roommate	- сосед по комнате
routine	- рутина
savvy	- со здравым смыслом, смекалистый
senator	- сенатор
sensitive	- чувствительный
(to) share	- делиться, поделиться
short-tempered	- несдержанный, вспыльчивый
(to) show, showed, shown	- показывать
shy	- застенчивый
simple things	- простые вещи
space crash	- космическая катастрофа
(to) spend time with	- проводить время с
spontaneous	- спонтанный
(to) start a war	- начать войну
straightforward	- прямолинейный
studies	- исследования
style	- стиль
superintendent	- управдом, комендант жилого дома
supervisor	- руководитель
(to) surf the internet	- бродить в интернете
surprise	-сюрприз
(to) take risks	- идти на риски
talent	- талант
tax return	- налоговая декларация
technology	- технология
terrible	- ужасный
terrorist	- террорист
thought	- мысль
three times	- три раза
tied down	- связанный, ограниченный
tight deadline	- сжатые сроки
tray	- поднос
twice	- дважды
virus	- вирус
waiter	- официант
war over the resources	- война за ресурсы
warm	- теплый, сердечный
weapon	- оружие
within	- в, в течение, во временных рамках
woods	- лес
(to) work out	- тренироваться, заниматься спортом
(to) yell at	- кричать на
you only live once	- ты живешь только один раз
