any ideas, есть идеи
bagel, мягкий бублик
beef, говядина
beet, свекла
blueberry, черника
blueberry cupcake, черничный кекс
brownies, шоколадное печенье
burger, бургер
butcher shop, мясной магазин
chocolate, шоколад
cottage cheese, творог
cucumber, огурец
delicious, очень вкусный; восхитительный
dessert, десерт
drug store, аптека
duck, утка
eggplant, баклажан
eggplant lasagna, лазанья с баклажанами
enough, достаточно
farmer’s market, фермерский рынок
fist date, первое свидание
flour, мука
for dessert, на десерт
fresh, свежий
to get, добираться
Greek salad, греческий салат
grocery store, продуктовый магазин
How about, Как насчет
in the corner, в углу
just a few, Всего несколько(с исчисл)
just a little, Всего немножко(с неисчесл)
light, светлый; легкий
main course, основное блюдо
menu, меню
not too many, не слишком много(с исчисл)
not too much, не слишком много(с неисчисл)
omelette, омлет
out of this world, неземной
parking lot, парковка
pasta, паста
pizza, пицца
post office, почта
price, цена
quick, быстрый
romantic, романтичный
sky-high, заоблачный
sounds delicious, звучит восхитительно
sour cream, сметана
special, особенный
spicy chicken with rice, острая курица с рисом
sundae, сливочное мороженое с фруктами и взбитыми сливками
supermarket, супермаркет
sweet, сладкий
tasty, вкусный
That’s a great idea, Это чудесная идея
that’s really expensive, Это действительно дорого
vanilla ice cream, ванильное мороженное
to walk along, идти вдоль
to walk down, идти вниз
to walk up, идти вверх
wedding anniversary, годовщина свадьбы
yummy, вкусный(разг)
