anymore, больше не; уже не
at the moment, в данный момент
bootcut, крой брюк с клешем ниже колена
candy, конфета; сладости
case, чехол
casual, повседневный
cheap, дешевый
to check, проверить
to check out, проверить…; посмотреть на
clear, прозрачный; ясный
coat, пальто
computer backpack, рюкзак для компьютера
cotton, хлопок; хлопковый
cufflinks, запонки
designer, дизайнер
earrings, серьги
expensive, дорогой
fabric, ткань; тканевый
fancy, модный
fashion, мода
fifty percent off, минус 50 процентов
flash drive, флешка
fur, мех; меховой
gold, золото; золотой
guitar, гитара
guys, ребята; парни
hometown, родной город
hoodie, толстовка с капюшоном
I’m getting it, Я покупаю
jacket, куртка пиджак
jeans, джинсы
to knit, вязать спицами
leather, кожаный
long-sleeve, с длинным рукавом
to look for, искать
May I help you, Могу ли я вам помочь
mittens, рукавицы
on sale, распродажа
once, однажды
to pick out, выбирать (не c)
to pick up, купить
plain, простой
polka dot, узор в горошек
polyester, полиэстер
to purchase, покупать
to recommend, рекомендовать
to repair, ремонтировать
salesperson, продавец
shirt, рубашка
to shop for, присматривать… (в магазине)
to shout at, кричать на
silver, серебряный
skinny, зауженный крой брюк
store, магазин
striped, узор в полоску
sweatshirt, толстовка
Sweet!, Отлично!
tennis shoes, теннисный туфли; кроссовки
that’s why, вот почему
to try on, примерять (одежда)
twice, дважды
upset, расстроенный; огорченный
violin, скрипка
to wear;wore;worn, носить (одежда)
What kind of, какой; какого типа
wool, шерстяной
yogurt, йогурт
