accident	- авария, дорожно-транспортное происшествие
account	- аккаунт, страница
allergy	- аллергия
alongside	- бок о бок с, в компании
at once	- сразу
back pain	- боль в спине
bad headache	- сильная головная боль
(to) be late	- опоздать
bear	- медведь
(to) bike	- кататься на велосипеде
(to) bite, bit, bitten	- кусать
black and blue	- в синяках
blond	- белокурый, светлый
brunette	- брюнетка
(to) burn oneself	- обжечься
(to) camp	- жить в палатке
campfire	- костер
careless	- неосторожный, неаккуратный
celebrity	- знаменитость
cell phone	- сотовый телефон
certainly	- безусловно, конечно
clothes	- одежда
coral	- коралл
current	- текущий, имеющийся
(to) cut oneself	- порезаться
data	-данные
dating	- знакомства, любовные встречи
dedicated	- преданный своему делу
detox drink	- напиток для детокса
distracted	- отвлекшийся, растерянный
dizzy	- страдающий от головокружения
excited	- в восторге, взволнованный
exotic	- экзотический
experience	- опыт
(to) faint	- упасть в обморок
(to) fall asleep	- заснуть
fashion	- мода
(to) feel dizzy	- чувствовать головокружение
first class	- первый класс
(to) fly first class	- летать первым классом
food poisoning	- пищевое отравление
foreigner	- иностранец
fox	-лиса
full	- полный, переполненный
(to) get in one's eyes	- попасть в глаза
greens	- зелень
gym	- спортзал
hacker	- хакер
(to) harvest	- собирать урожай
(to) have an accident	- попасть в аварию, ДТП
helicopter	- вертолет
hobby	- хобби
(to) hurt oneself	- пораниться, ушибиться
I had that experience the other day	- У меня был такой опыт на днях
I'm sorry to hear that.	- Мне жаль это слышать.
in front of the computer	- перед компьютером
(to) jog	- бегать трусцой, совершать пробежки
knee	- колено
lifestyle	- стиль жизни
(to) lift weights	- заниматься тяжёлой атлетикой, поднимать вес
mall	- торговый центр
(to) meditate	- медитировать
mobile	- мобильный
mountain	- гора
mud	- грязь
nauseous	- чувствующий тошноту
neck	- шея
nervous	- нервничающий
on top of	- на вершине чего-то
overheated	- перегревшийся
own	- собственный
personality	- личность
pet	- домашнее животное
physical appearance	- внешность
Pope	- Папа Римский
postcard	- открытка
(to) prepare	- подготовить
(to) print	- печатать
relaxed	- расслабленный
(to) sample	- пробовать, отведать
(to) scratch	- поцарапать
season	- время года
(to) shake hands with	- пожать руку кому-то
(to) shake, shook, shaken – трясти, дрожать
(to) sign	- подписывать
(to) ski down a mountain	- кататься на лыжах вниз с горы
(to) snorkel	- плавать под водой с маской и трубкой
social life	- социальная жизнь
soda drink	- газированный напиток
souvenir	- сувенир
(to) start a campfire	- разжигать костер
(to) steal, stole, stolen	- украсть, угнать
stiff	- затекший, в напряжённом состоянии
stressed	- напряжённый, нагруженный
surfboard	- доска для серфинга
swollen	- опухший
(to) take a mud bath	- принять грязевую ванну
 (to) take time off	- взять отгул, отдохнуть
twice	- дважды
underground	- подземный
waiting room	- зал ожидания
(to) walk up	- подняться вверх
(to) work overtime	- работать сверхурочно
