account	- учетная запись
(to) agree	- соглашаться
alien	- инопланетянин
article	- статья
as a matter of fact	- по правде говоря
as a result	- в результате
(to) attract	- привлекать
bacon	- бекон
(to) beat, beat, beaten	- победить, побить
beef	- говядина
blind date	- свидание с незнакомым чело¬веком
(to) browse	- искать в интернете
butter	- масло
Can you please....?	- Можешь... пожалуйста?
(to) cancel	- отменить
cellphone	- мобильный телефон
certainly	- конечно
clear	- ясный, понятный
client	- клиент
cocoa	- какао
(to) come up with	- придумать
competition	- конкуренция
cookbook	- книга с рецептами
Could you please....?	- Не мог бы ты ....?
cousin	- двоюродный брат/сестра
delighted	; восхищенный
distant	- отдаленный, далекий
(to) download off	- скачивать с
durian	- дуриан (тайский фрукт)
educational	- образовательный
emoji	- эмодзи
espresso	- эспрессо
(to) figure out	- выяснить, прояснить
(to) flip through	- пролистывать
flour	- мука
flower pot	- цветочный горшок
flying	- летающий
(to) follow	- следовать
for the evening	- на вечер
formula	- формула, рецепт
gadget	- гаджет, устройство
garlic	- чеснок
(to) get caught	- попасться, быть пойманным
(to) give a party	- устраивать вечеринку
grapes	- виноград
greenhouse	- оранжерея, теплица
I know what you mean.	- Я знаю, что вы имеете в виду.
I'd like you to...	- Я бы хотел, чтобы вы ...
I'll do it right away.		- Я сделаю это прямо сейчас.
(to) improve		- улучшать
ingredient		- ингредиент, компонент, составляющая
instructions		- инструкции,указания
(to) intend		- намереваться
(to) locate		- определять местонахождение, находить
lotion		- крем
(to) manage		- удаваться, справляться
mayo		- майонез
meat		- мясо
memory		- память, воспоминание
note		- заметка, записка
Of course.		- Конечно.
(to) offer		- предлагать
onion		- лук
(to) open one's own	business	- открыть собственный бизнес
orchid		- орхидея
(to) order		- заказывать
otter		- выдра
oven		- печь
parmesan		- пармезан
password		- пароль
pepper		- перец
(to) pick out		- выбирать
pile		- куча
(to) plant		- сажать
pleased		- довольный
politics		- политика
pony		- пони
privacy settings		- настройки конфиденциальности
project		- проект
(to) promise		- обещать
(to) pull a prank		- сыграть злую шутку
raisins		- изюм
recipe		- рецепт
(to) redecorate		- по-новому оформить интерьер
(to) refresh		- обновить, освежить
(to) require		- требовать
roasted chicken		- жареная курица
(to) run something through Wikipedia	- проверить что-то через Википедию
selfie		- селфи
(to) set up		- организовать
 (to) sign up for		- подписаться на, записаться на
smart		- умный
smoothie		- смуззи, коктейль
spelling		- написание, правописание
stew		- тушеное мясо
strawberry		- клубника
strawberry-flavored		- со вкусом клубники
studio	- студия
stupid	- глупый
subway system	- система метро
taste	- вкус
(to) taste	- быть на вкус, иметь вкус
(to) taste awful	- быть ужасным на вкус
(to) taste terrible	- быть ужасным на вкус
(to) teach someone a lesson	- преподать кому-то урок
(to) text-message	; отправить текстовое сообщение. СМС
(to) time travel	- путешествовать во времени
tiramisu	- тирамису
tropical	- тропический
(to) trust	- доверять
(to) underline	- подчеркивать
unfamiliar	- незнакомый
unicorn	- единорог
(to) update	- обновлять
watermelon	- арбуз
What did you say?	- Что вы сказали?
What was that?	- Что это было?
while you're at it	- и заодно
Will you please...?	... пожалуйста?
Would you please...?	- Не можешь ли ты ...?
(to) write out	- выписать
yogurt	- йогурт
