after all	- в конце концов
(to) agree	- соглашаться
another	- другой, ещё один
as the days go by	- по мере того, как проходят Дни
available	- доступный, в наличии, в распоряжении
certain	- определенный
(to) clean up	- убирать
clumsy	- неуклюжий
(to) commute	- добираться на работу
completely	- ПОЛНОСТЬЮ
concerned	- обеспокоенный
cookie jar	- банка для печенья
creative	- творческий
curiously	-любопытно
despite	- несмотря на
different	- различный, другой
discouraged	- раздосадован
(to) do one's best	- делать все возможное, делать
(did, done)	все от себя зависящее
(to) do poorly	- плохо справиться
(to) do something productive - делать что-то продуктивное
emotion	- эмоции
ever since	- с тех пор как
fashion-obsessed	- одержимый модой
fluently	- бегло
furious	- яростный
future	- будущее, будущий
(to) get better	- становиться лучше
(to) go in	- входить
(to) go through some difficult - переживать трудные времена
handsome	- красивый (о мужчинах)
(to) have trouble	- иметь трудности, проблемы
(to) hide, hid, hidden	- скрывать, прятать (irr)
hopeful	- надеющийся
idea	- идея
irritated	- раздраженный
mess	- беспорядок
(to) miss	- скучать, пропускать
(to) open up to	- открываться кому-то
outlook 	- взгляд, перспектива
overalls	- комбинезон
overdone steak	- пережаренный стейк
(to) pay (paid, paid) 	- платить(irr)
pessimistic	- пессимистический
point well taken	- хорошо подмечено
(to) prefer	- предпочитать
private space	- личное пространство
rare	- с кровью, непрожарен
rarely	- редко
(to) reach for	- тянуться за
reason	- причина
reserved	- замкнутый
right kind	- правильный вид, сорт,
right now	- прямо сейчас
(to) seem	- казаться
(to) share the bathroom	- пользоваться одной и той же ванной комнатой
simply	- просто
skill	- мастерство, навык
special	- специальный, особый
(to) spread germs	- распространять микробы
state	- штат
steak	- стейк
(to) stick to one's opinion	- придерживаться мнения
stingy	- скупой
stranger	- незнакомец
stubborn	- упрямый
successful	- успешный
surprised by	- удивленный чем-либо
(to) take a nap	- вздремнуть
(to) throw a party	- организовать вечеринку
tip	- чаевые
job	- работа
job opening	- вакансия
laid off	- уволен по сокращению
layoff	- сокращение
(to) lay off	- сокращать
(to) leave for college	- уехать в колледж
(to) let go of	- отказаться от
main	- основной
(to) make good progress	- добиться значительного прогресса
tons of money	- уйма денег
training	- обучение, тренинг
(to) type	- печатать на клавиатуре
ugly	- уродливый
unfortunately	- к сожалению
useful	- полезный
vocational training	- профессиональное обучение
want ad	- объявление о вакансии
weekday	- будний день
well said	- хорошо сказано
we see eye to eye on this	- здесь мы с тобой согласны
willing	- готовый
