anesthetic	- анестезия, обезболивающее
(to) apply for a new position	- подать заявку на новую долж¬ность
arrested	- арестованный
as far as I know...	- насколько я знаю ...
ask yourself...	- спросите себя ...
barber	- парикмахер
blond	- белокурый, светлый
(to) break up with	- порвать с
by any chance	- случайно
can you believe...?	-ты можешь поверить ...?
capacity	- вместительность
coach	- тренер
deep	- глубокий
(to) demand	- требовать
department store	- универмаг
depth	- глубина
done	- готовый
door-to-door salesman	- коммивояжёр; представитель торговой фирмы, обходящий квартиры или офисы с предложением товара
due	- ожидается, надлежит
(to) dye	- красить (волосы, ткань)
elevator		- лифт
encyclopedia		- энциклопедия
fabric		- ткань, материя
fake beard		- поддельная борода
finally		- в конце концов
flat tire		- спущенная шина
for Christmas		- на Рождество
gas tank		- бензобак
(to) get engaged		- обручиться
God		- Бог
guess...		- угадай ...
height		- высота
(to) hold		- вмещать
HR (human resources)		- специалист по подбору кадров
I can't believe she asked you that	- не могу поверить, что она спросила у тебя это
I can't either		- я тоже не могу
I wonder...		- мне интересно...
I'd like to know...		- я хотел бы узнать ...
I'm curious...		- мне любопытно ...
I'm positive		- я уверен
insurance		- страхование,страховка
interview		- интервью
interviewer	- интервьюер
it would be interesting...	- было бы интересно ...
(to) know about the birds and the bees	- знать откуда берутся дети
length	- длина
luggage	- багаж
medical school	- медицинская школа
NBA	- НБА (Национальная баскетбольная ассоциация)
neither can I	- я тоже не могу
nephew	- племянник
(to) operate on	- оперировать кого-то
overcoat	- пальто
patient	- пациент
(to) pay a visit	- нанести визит
philosophy	- философия
(to) play one's best	- играть изо всех сил
population	- численность населения
position	- должность
prestigious	- престижный
prison	- тюрьма
professor	- профессор
property	- собственность, имущество
qualified	- квалифицированный
real	- реальный, настоящий
research	- исследование
rоре	- веревка
shortcake	- песочное печенье
single mother	- мать-одиночка
size	- размер
somehow I thought	- я почему-то думал
spare	- запасной
special	- специальный
strength	- прочность, сила
(to) succeed	- преуспевать
team	- команда
thickness	- толщина
tire	- шина
training	- обучение
(to) try one's best	- делать все от себя зависящее
volume	- том
weight	- вес
well-paying	- хорошо оплачиваемый
when is the boss' wife due?	- когда жена босса должна родить?
wide	- широкий
width	- ширина
willing	- готовый
(to) work overtime	- работать сверхурочно
you won't believe...	- вы не поверите ...
you'll never believe...	- вы никогда не поверите ...
