(to) accept	- принимать
all the time	- все время
allergic	- иметь аллергию на
antidepressant	- антидепрессант
around the house	- по дому, в доме
available	- доступный, в наличии
baby food	- детское питание
babysitter	- няня
(to) be all thumbs	- быть неловким
block	- квартал
bouquet	- букет
(to) break promises	- не сдерживать своих обещаний
(to) bully	- запугивать, задирать
career	- карьера
cheerful	- веселый
concerned	- обеспокоенный
confident	- уверенный
(to) cook from scratch	- готовить с нуля
(to) dance salsa	- танцевать сальсу
(to) dance the waltz	- танцевать вальс
day shift	- дневная смена
depressed	- подавленный
dryer	- сушильная машина
every single night	- каждую ночь (с усилением)
(to) feel out of place	- чувствовать себя не в своей тарелке
(to) feel uneasy around	- чувствовать себя неловко в окружении
full-time job	- работа на полный рабочий день
 (to) get cooler	- остывать
 (to) get depressed	- впадать в депрессию
guy	- парень
(to) have a better ear for	- иметь склонности к
 (to) have pity on	- пожалеть кого-то
(to) have two left feet	- быть неуклюжим, не уметь танцевать
(to) improve	- улучшать
in fact	- на самом деле
intensive care	- реанимация
(to) interrupt	- прервать
it's a pity	- жаль, что ...
it's a shame	- досадно, что ...
it's too bad	- вот беда, что ...
(to) keep promises	- сдержать обещания
 (to) keep still	- не двигаться
kid	- ребенок
(to) knit, knit, knit	- вязать
laundromat	- прачечная
(to) lay off	- сократить
lenient	- нетребовательный
(to) lower	- снижать
(to) make friends	- подружиться
(to) march	- маршировать
mechanically inclined	- с механическами склонностями
(to) memorize	- запомнить
memory	- память
musical instrument	- музыкальный инструмент
my thoughts exactly	- ты прочитал мои мысли
night shift	- ночная смена
noisy	- шумный
one-piece swimsuit	- цельный купальник
opportunity	- возможность
optimist	- оптимист
orchid	- орхидея
part-time job	- работа на неполный рабочий день
patient	- пациент
(to) pay attention	- обратить внимание
pilates	- пилатес
promising	- многообещающий
pronunciation	- произношение
(to) purchase	- покупать
quiet	- тихо, тихий
radiator	- радиатор, батарея
(to) repair	- ремонтировать
(to) roll	- сворачивать, тянуть звук
(to) scare away	- отпугивать
self-conscious	- застенчивый
senior	- старшеклассник
sibling	- родной брат, сестра
skill	- умение
(to) smile	- улыбаться
(to) socialize	- общаться
(to) speak up	- высказываться, говорить громче
 (to) spend money on	- тратить деньги на
staff	- персонал
(to) stare	- пялиться
suburbs	- окрестности
(to) succeed in	- добиться успеха в
(to) swamp with	- заваливать чем-либо
sweater	- свитер
(to) take temperature	- мерять температуру
take-out	- на вынос, с собой
(to) tap	- стучать (пальцами, ручкой)
that's exactly what I was thinking	- это именно то, о чем я думал
that's just what I was thinking -я именно об этом подумал
town parade	- городской парад
vice president	- вице-президент
wall	- стена
washer	- стиральная машина
(to) wave	- махать
(to) whisper	- говорить шепотом
you know what I wish?	- вы знаете, чего бы мне хотелось?
vou mean... - вы имеете в виду, что ...
