across the school, напротив школы
advertising company, рекламная кампания
African, африканский
all day, весь день
apartment, квартира
art exhibition, художественная выставка
at night, ночью
back in Peru, назад в перу
banana, банан
to be born, быть рожденным
to be late for, опаздывать на
to be on time, быть вовремя
to be out, быть вне дома
beach, пляж
to begin school, пойти в школу
best friend, лучший друг
boring, скучный
to break;broke;broken, ломать
buddy, друг; товарищ(разг)
cafe, кафе
charming, очаровательный
client, клиент
club, клуб
to come by, проходить(мимо)
comfortable, удобный; комфортный
commercial, рекламное объявление; ролик
conference, конференция
cool, классный; красивый
costume, карнавальный костюм
countryside, сельская местность
document, документ
downtown, центр города
to drive downtown, ехать в центр города
elementary school, начальная школа
to feed;fed;fed, кормить
to forget;forgot;forgetten, забывать
fridge, холодильник
to get a job, получить работу
to go on a business trip, ездить в командировку
to go on a hike, идти в поход
to grow up, расти
to have a great time, отлично проводить время
high school, старшая школа
hike, поход
in the mountains, в горах
international, международный
karaoke bar, караоке бар
to kiss,  целовать
Let’s …, Давай
to leave somewhere for somewhere, уезжать откуда-то куда-то
lion, лев
live rock concert,  рок концерт живой музыки
to lose;lost;lost, терять
to make coffee, готовить кофе
mango, манго
to miss, скучать
modern, современный
music festival, музыкальный фестиваль
on her last vacation, во время ее последнего отпуска
pineapple, ананас
pink, розовый
poor, бедный
to put on, надевать
radio show, радио шоу
Red sea, Красное море
to remember, помнить
rice, рис
to ride a bicycle, ездить на велосипеде
Right, Правильно
romantic, романтично
to scan, сканировать
seminar, семинар
she didn’t speak a word of English, она не говорила ни слова по-английски
shoe factory, обувная фабрика
to shout at, кричать на кого либо
to skype conference, скайп конференция
sneakers, кроссовки
spicy, острый; пряный
to spill, пролить; разлить
sportswear, спортивная одежда
staff meeting, совещание сотрудников
to stay in bed, оставаться в постели
still, все еще
store, магазин
surprised, удивленный
talented, талантливый
tech store, магазин техники
That’s really cool, Это действительно круто
the day before yesterday, позавчера
the first couple of years, первые несколько лет
the other day, на днях (в прошлом)
tomatoes, помидоры
training, тренировка
uncomfortable, неудобный
uniform, униформа
village, деревня
to wake up, просыпаться
webinar, вебинар
weekend, выходные
wine, вино
word, слово
to work overtime, работать сверхурочно
